ID,date_time,latitude,longitude,b,t
2004-2014,5/17/2014 7:56,52.929259,5.4356573,-1,5/17/2014 7:56
2004-2014,5/17/2014 8:27,52.9304145,5.4341987,-1,5/17/2014 8:27
2004-2014,5/17/2014 8:57,52.9303977,5.4341287,-1,5/17/2014 8:57
2004-2014,5/17/2014 9:27,52.9250101,5.4344056,-1,5/17/2014 9:27
2004-2014,5/17/2014 9:58,52.9205547,5.4238558,-1,5/17/2014 9:58
2004-2014,5/17/2014 10:29,52.9205499,5.4238255,-1,5/17/2014 10:29
2004-2014,5/17/2014 10:59,52.9191038,5.427045,-1,5/17/2014 10:59
2004-2014,5/17/2014 11:30,52.9209597,5.4308697,-1,5/17/2014 11:30
2004-2014,5/17/2014 12:00,52.9184024,5.429162,-1,5/17/2014 12:00
2004-2014,5/17/2014 12:31,52.9199557,5.4318472,-1,5/17/2014 12:31
2004-2014,5/17/2014 13:01,52.9233866,5.4392954,-1,5/17/2014 13:01
2004-2014,5/17/2014 13:32,52.9440207,5.4849896,-1,5/17/2014 13:32
2004-2014,5/17/2014 14:03,52.9273622,5.4403048,-1,5/17/2014 14:03
2004-2014,5/17/2014 14:34,52.9267484,5.4412564,-1,5/17/2014 14:34
2004-2014,5/17/2014 15:04,52.9212421,5.4283984,-1,5/17/2014 15:04
2004-2014,5/17/2014 15:34,52.9195415,5.4238227,-1,5/17/2014 15:34
2004-2014,5/17/2014 16:05,52.9225112,5.4428824,-1,5/17/2014 16:05
2004-2014,5/17/2014 16:36,52.9249344,5.4437735,-1,5/17/2014 16:36
2004-2014,5/17/2014 17:06,52.9323427,5.4232833,-1,5/17/2014 17:06
2004-2014,5/17/2014 17:37,52.9378239,5.4248356,-1,5/17/2014 17:37
2004-2014,5/17/2014 18:07,52.9432812,5.4062349,2,5/17/2014 18:07
2004-2014,5/17/2014 18:37,52.9431666,5.4060053,2,5/17/2014 18:37
2004-2014,5/17/2014 19:07,52.9434953,5.4060498,2,5/17/2014 19:07
2004-2014,5/17/2014 19:37,52.9440163,5.4849428,2,5/17/2014 19:37
2004-2014,5/17/2014 20:07,52.9440542,5.484897,2,5/17/2014 20:07
2004-2014,5/17/2014 20:37,52.9444857,5.4972574,2,5/17/2014 20:37
2004-2014,5/17/2014 21:08,52.9445286,5.4973958,2,5/17/2014 21:08
2004-2014,5/17/2014 21:38,52.9444123,5.4973605,2,5/17/2014 21:38
2004-2014,5/17/2014 22:08,52.9444734,5.4973628,2,5/17/2014 22:08
2004-2014,5/17/2014 22:39,52.9446278,5.4973522,2,5/17/2014 22:39
2004-2014,5/17/2014 23:08,52.9445283,5.4974217,2,5/17/2014 23:08
2004-2014,5/17/2014 23:38,52.944479,5.4974457,2,5/17/2014 23:38
