ID,date_time,latitude,longitude,b,t
2014-2013,5/10/2013 11:12,52.9154865,5.4503024,-1,5/10/2013 11:12
2014-2013,5/10/2013 12:12,52.9249868,5.4441803,-1,5/10/2013 12:12
2014-2013,5/10/2013 13:13,52.9249862,5.4440951,-1,5/10/2013 13:13
2014-2013,5/10/2013 14:13,52.9249992,5.444058,-1,5/10/2013 14:13
2014-2013,5/10/2013 15:13,52.924981,5.4435665,-1,5/10/2013 15:13
2014-2013,5/10/2013 16:14,52.925075,5.4443179,-1,5/10/2013 16:14
2014-2013,5/10/2013 17:14,52.9444089,5.4974035,-1,5/10/2013 17:14
2014-2013,5/10/2013 18:14,52.9443921,5.4973893,-1,5/10/2013 18:14
2014-2013,5/10/2013 19:15,52.9444945,5.497343,-1,5/10/2013 19:15
2014-2013,5/10/2013 20:16,52.9445922,5.4973905,-1,5/10/2013 20:16
2014-2013,5/10/2013 21:16,52.9449226,5.4974207,-1,5/10/2013 21:16
2014-2013,5/10/2013 22:17,52.9445617,5.4974026,-1,5/10/2013 22:17
2014-2013,5/10/2013 23:17,52.9445008,5.4973592,-1,5/10/2013 23:17
2014-2013,5/11/2013 0:18,52.944574,5.4973222,-1,5/11/2013 0:18
2014-2013,5/11/2013 1:18,52.9444564,5.4973404,-1,5/11/2013 1:18
2014-2013,5/11/2013 2:18,52.9440023,5.4999009,-1,5/11/2013 2:18
2014-2013,5/11/2013 3:19,52.9445206,5.497313,-1,5/11/2013 3:19
2014-2013,5/11/2013 4:20,52.9444285,5.4971341,-1,5/11/2013 4:20
2014-2013,5/11/2013 5:20,52.9233386,5.4344205,-1,5/11/2013 5:20
2014-2013,5/11/2013 6:21,52.9244393,5.4334394,-1,5/11/2013 6:21
2014-2013,5/11/2013 7:21,52.9193863,5.4407244,-1,5/11/2013 7:21
2014-2013,5/11/2013 8:21,52.9193848,5.4407485,-1,5/11/2013 8:21
2014-2013,5/11/2013 9:21,52.9445015,5.4972416,-1,5/11/2013 9:21
2014-2013,5/11/2013 10:21,52.9444955,5.4973426,-1,5/11/2013 10:21
2014-2013,5/11/2013 11:22,52.9437002,5.4983413,-1,5/11/2013 11:22
2014-2013,5/11/2013 12:22,52.9445536,5.4973185,-1,5/11/2013 12:22
2014-2013,5/11/2013 13:22,52.9443635,5.4971646,-1,5/11/2013 13:22
2014-2013,5/11/2013 14:23,52.9444566,5.4973317,-1,5/11/2013 14:23
2014-2013,5/11/2013 15:23,52.9446713,5.4972315,-1,5/11/2013 15:23
2014-2013,5/11/2013 16:24,52.9444703,5.4973608,-1,5/11/2013 16:24
2014-2013,5/11/2013 17:24,52.9448174,5.4971676,-1,5/11/2013 17:24
2014-2013,5/11/2013 18:24,52.944369,5.4975441,-1,5/11/2013 18:24
2014-2013,5/11/2013 19:25,52.9444781,5.4974017,-1,5/11/2013 19:25
2014-2013,5/11/2013 20:25,52.9444453,5.4974176,-1,5/11/2013 20:25
2014-2013,5/11/2013 21:25,52.944461,5.4973334,-1,5/11/2013 21:25
2014-2013,5/11/2013 22:25,52.9444893,5.4973976,-1,5/11/2013 22:25
2014-2013,5/11/2013 23:25,52.9444477,5.4974232,-1,5/11/2013 23:25
2014-2013,5/12/2013 0:26,52.9445838,5.4974545,-1,5/12/2013 0:26
2014-2013,5/12/2013 1:26,52.9444608,5.4973873,-1,5/12/2013 1:26
2014-2013,5/12/2013 2:26,52.9444614,5.4973362,-1,5/12/2013 2:26
2014-2013,5/12/2013 3:26,52.9444323,5.4973427,-1,5/12/2013 3:26
2014-2013,5/12/2013 4:26,52.9446066,5.4973734,-1,5/12/2013 4:26
2014-2013,5/12/2013 5:26,52.9223424,5.4609455,-1,5/12/2013 5:26
2014-2013,5/12/2013 6:27,52.9221797,5.4249704,-1,5/12/2013 6:27
2014-2013,5/12/2013 7:41,52.9260385,5.4303771,-1,5/12/2013 7:41
2014-2013,5/12/2013 8:41,52.9259566,5.4304891,-1,5/12/2013 8:41
2014-2013,5/12/2013 9:41,52.9259993,5.4303536,-1,5/12/2013 9:41
2014-2013,5/12/2013 10:42,52.9263259,5.4301866,-1,5/12/2013 10:42
2014-2013,5/12/2013 11:42,52.9263917,5.430162,-1,5/12/2013 11:42
2014-2013,5/12/2013 12:43,52.9260394,5.4303399,-1,5/12/2013 12:43
2014-2013,5/12/2013 13:43,52.9258998,5.4304647,-1,5/12/2013 13:43
2014-2013,5/12/2013 14:44,52.9260611,5.4303767,-1,5/12/2013 14:44
2014-2013,5/12/2013 15:44,52.9260812,5.4304834,-1,5/12/2013 15:44
2014-2013,5/12/2013 16:45,52.9263833,5.4301531,-1,5/12/2013 16:45
2014-2013,5/12/2013 17:45,52.9262395,5.4302267,-1,5/12/2013 17:45
2014-2013,5/12/2013 18:45,52.9264396,5.4301014,-1,5/12/2013 18:45
2014-2013,5/12/2013 19:46,52.9260474,5.4303743,1,5/12/2013 19:46
2014-2013,5/12/2013 20:46,52.9260432,5.4303988,1,5/12/2013 20:46
2014-2013,5/12/2013 21:46,52.9260355,5.4303864,1,5/12/2013 21:46
2014-2013,5/12/2013 22:47,52.9260482,5.4303783,1,5/12/2013 22:47
2014-2013,5/12/2013 23:47,52.9260672,5.4303886,1,5/12/2013 23:47
2014-2013,5/13/2013 0:48,52.926014,5.4303968,1,5/13/2013 0:48
2014-2013,5/13/2013 1:48,52.9260596,5.4304093,1,5/13/2013 1:48
2014-2013,5/13/2013 2:48,52.9260488,5.4303706,1,5/13/2013 2:48
2014-2013,5/13/2013 3:48,52.925998,5.4303715,1,5/13/2013 3:48
2014-2013,5/13/2013 4:49,52.9260562,5.4303607,1,5/13/2013 4:49
2014-2013,5/13/2013 5:49,52.9259794,5.4303282,1,5/13/2013 5:49
2014-2013,5/13/2013 6:50,52.9260388,5.4303628,1,5/13/2013 6:50
2014-2013,5/13/2013 7:50,52.9256213,5.4308483,-1,5/13/2013 7:50
2014-2013,5/13/2013 8:50,52.9262092,5.4309788,-1,5/13/2013 8:50
2014-2013,5/13/2013 9:51,52.9262645,5.4303404,-1,5/13/2013 9:51
2014-2013,5/13/2013 10:52,52.9264417,5.4298519,-1,5/13/2013 10:52
2014-2013,5/13/2013 11:52,52.9262736,5.430382,-1,5/13/2013 11:52
2014-2013,5/13/2013 12:53,52.9262686,5.4303131,-1,5/13/2013 12:53
2014-2013,5/13/2013 13:54,52.9263808,5.4299676,-1,5/13/2013 13:54
2014-2013,5/13/2013 14:54,52.9263329,5.4302151,-1,5/13/2013 14:54
2014-2013,5/13/2013 15:54,52.9263552,5.4303452,-1,5/13/2013 15:54
2014-2013,5/13/2013 16:55,52.9258913,5.4305053,-1,5/13/2013 16:55
2014-2013,5/13/2013 17:56,52.9263675,5.4301769,-1,5/13/2013 17:56
2014-2013,5/13/2013 18:57,52.9263102,5.4302445,-1,5/13/2013 18:57
2014-2013,5/13/2013 19:58,52.9262214,5.4304126,-1,5/13/2013 19:58
2014-2013,5/13/2013 20:39,52.9264827,5.4325518,-1,5/13/2013 20:39
2014-2013,5/13/2013 20:54,52.9305994,5.4380814,-1,5/13/2013 20:54
2014-2013,5/13/2013 21:11,52.9306072,5.4380502,-1,5/13/2013 21:11
2014-2013,5/13/2013 21:26,52.9305915,5.4378976,-1,5/13/2013 21:26
2014-2013,5/13/2013 21:41,52.9305737,5.4379501,-1,5/13/2013 21:41
2014-2013,5/13/2013 21:57,52.9305588,5.4379652,-1,5/13/2013 21:57
2014-2013,5/13/2013 22:12,52.9305358,5.4379446,-1,5/13/2013 22:12
2014-2013,5/13/2013 22:27,52.9305682,5.4377588,-1,5/13/2013 22:27
2014-2013,5/13/2013 22:42,52.9304851,5.4377476,-1,5/13/2013 22:42
2014-2013,5/13/2013 22:57,52.9305051,5.4377605,-1,5/13/2013 22:57
2014-2013,5/13/2013 23:12,52.930571,5.4377684,-1,5/13/2013 23:12
2014-2013,5/13/2013 23:27,52.9305054,5.4377478,-1,5/13/2013 23:27
2014-2013,5/13/2013 23:42,52.9305285,5.4377482,-1,5/13/2013 23:42
2014-2013,5/13/2013 23:57,52.930475,5.4378103,-1,5/13/2013 23:57
2014-2013,5/14/2013 0:13,52.9304993,5.4377613,-1,5/14/2013 0:13
2014-2013,5/14/2013 0:28,52.9305029,5.4377364,-1,5/14/2013 0:28
2014-2013,5/14/2013 0:43,52.9305104,5.4377618,-1,5/14/2013 0:43
2014-2013,5/14/2013 0:58,52.9305228,5.4377585,-1,5/14/2013 0:58
2014-2013,5/14/2013 1:13,52.9305201,5.4377798,-1,5/14/2013 1:13
2014-2013,5/14/2013 1:29,52.9305408,5.4377644,-1,5/14/2013 1:29
2014-2013,5/14/2013 1:44,52.9305403,5.4377351,-1,5/14/2013 1:44
2014-2013,5/14/2013 1:59,52.926563,5.4323804,-1,5/14/2013 1:59
2014-2013,5/14/2013 2:14,52.9257574,5.430747,-1,5/14/2013 2:14
2014-2013,5/14/2013 2:29,52.9261551,5.4302541,-1,5/14/2013 2:29
2014-2013,5/14/2013 2:44,52.926278,5.4301166,-1,5/14/2013 2:44
2014-2013,5/14/2013 2:59,52.9260794,5.4303369,1,5/14/2013 2:59
2014-2013,5/14/2013 3:14,52.926011,5.4303998,1,5/14/2013 3:14
2014-2013,5/14/2013 3:30,52.926029,5.4303673,1,5/14/2013 3:30
2014-2013,5/14/2013 3:45,52.9260556,5.4303847,1,5/14/2013 3:45
2014-2013,5/14/2013 4:01,52.9260349,5.4303598,1,5/14/2013 4:01
2014-2013,5/14/2013 4:16,52.9260246,5.4303607,1,5/14/2013 4:16
2014-2013,5/14/2013 4:31,52.9260517,5.4303729,1,5/14/2013 4:31
2014-2013,5/14/2013 5:01,52.9261742,5.4302593,-1,5/14/2013 5:01
2014-2013,5/14/2013 5:16,52.9260989,5.4302865,-1,5/14/2013 5:16
2014-2013,5/14/2013 5:31,52.926132,5.4302638,-1,5/14/2013 5:31
2014-2013,5/14/2013 5:46,52.9260598,5.4303841,-1,5/14/2013 5:46
2014-2013,5/14/2013 6:02,52.9262663,5.4307501,-1,5/14/2013 6:02
2014-2013,5/14/2013 6:16,52.9262365,5.4301332,-1,5/14/2013 6:16
2014-2013,5/14/2013 6:31,52.9260524,5.4303667,-1,5/14/2013 6:31
2014-2013,5/14/2013 6:46,52.9261132,5.4303144,-1,5/14/2013 6:46
2014-2013,5/14/2013 7:02,52.9261539,5.4302546,-1,5/14/2013 7:02
2014-2013,5/14/2013 7:17,52.9260469,5.4303759,1,5/14/2013 7:17
2014-2013,5/14/2013 7:32,52.9260427,5.4303771,1,5/14/2013 7:32
2014-2013,5/14/2013 7:47,52.9260458,5.4303511,1,5/14/2013 7:47
2014-2013,5/14/2013 8:03,52.9260577,5.4303306,1,5/14/2013 8:03
2014-2013,5/14/2013 8:18,52.9260433,5.4303607,1,5/14/2013 8:18
2014-2013,5/14/2013 8:32,52.9260704,5.4303358,1,5/14/2013 8:32
2014-2013,5/14/2013 8:47,52.9260872,5.4303134,1,5/14/2013 8:47
2014-2013,5/14/2013 9:02,52.9260627,5.4303931,1,5/14/2013 9:02
2014-2013,5/14/2013 9:18,52.9260573,5.4303471,1,5/14/2013 9:18
2014-2013,5/14/2013 9:33,52.9260581,5.4304081,1,5/14/2013 9:33
2014-2013,5/14/2013 9:48,52.9260294,5.4303749,1,5/14/2013 9:48
2014-2013,5/14/2013 10:03,52.926034,5.430348,1,5/14/2013 10:03
2014-2013,5/14/2013 10:18,52.9262211,5.4302164,1,5/14/2013 10:18
2014-2013,5/14/2013 10:33,52.9260115,5.4304637,1,5/14/2013 10:33
2014-2013,5/14/2013 10:48,52.9261002,5.4303797,-1,5/14/2013 10:48
2014-2013,5/14/2013 11:03,52.9260381,5.4304838,-1,5/14/2013 11:03
2014-2013,5/14/2013 11:18,52.9260314,5.4305924,-1,5/14/2013 11:18
2014-2013,5/14/2013 11:33,52.9263073,5.4304153,-1,5/14/2013 11:33
2014-2013,5/14/2013 11:44,52.926487,5.4275504,-1,5/14/2013 11:44
2014-2013,5/14/2013 11:59,52.9261099,5.4304953,-1,5/14/2013 11:59
2014-2013,5/14/2013 12:15,52.9261356,5.4302944,-1,5/14/2013 12:15
2014-2013,5/14/2013 12:30,52.9261841,5.4304354,-1,5/14/2013 12:30
2014-2013,5/14/2013 12:45,52.926021,5.4305119,-1,5/14/2013 12:45
2014-2013,5/14/2013 13:00,52.9261126,5.430288,-1,5/14/2013 13:00
2014-2013,5/14/2013 13:15,52.9262138,5.4302898,-1,5/14/2013 13:15
2014-2013,5/14/2013 13:30,52.9261361,5.4304114,-1,5/14/2013 13:30
2014-2013,5/14/2013 13:45,52.9260652,5.4303866,1,5/14/2013 13:45
2014-2013,5/14/2013 14:01,52.9260735,5.4303702,1,5/14/2013 14:01
2014-2013,5/14/2013 14:16,52.9260727,5.4303581,1,5/14/2013 14:16
2014-2013,5/14/2013 14:31,52.9260767,5.4303562,1,5/14/2013 14:31
2014-2013,5/14/2013 14:45,52.9260649,5.430375,1,5/14/2013 14:45
2014-2013,5/14/2013 15:00,52.926138,5.4305242,-1,5/14/2013 15:00
2014-2013,5/14/2013 15:15,52.9262059,5.430388,-1,5/14/2013 15:15
2014-2013,5/14/2013 15:33,52.9262424,5.430375,-1,5/14/2013 15:33
2014-2013,5/14/2013 15:48,52.9260673,5.4304675,-1,5/14/2013 15:48
2014-2013,5/14/2013 16:03,52.9260261,5.4304002,-1,5/14/2013 16:03
2014-2013,5/14/2013 16:18,52.9260311,5.4304848,-1,5/14/2013 16:18
2014-2013,5/14/2013 16:33,52.9261578,5.4302729,-1,5/14/2013 16:33
2014-2013,5/14/2013 16:48,52.9262959,5.4303243,-1,5/14/2013 16:48
2014-2013,5/14/2013 17:03,52.9260764,5.4302877,-1,5/14/2013 17:03
2014-2013,5/14/2013 17:18,52.9261462,5.4304449,-1,5/14/2013 17:18
2014-2013,5/14/2013 17:33,52.9260135,5.4305634,-1,5/14/2013 17:33
2014-2013,5/14/2013 17:48,52.9264329,5.4301203,-1,5/14/2013 17:48
2014-2013,5/14/2013 17:58,52.9263446,5.4300683,-1,5/14/2013 17:58
2014-2013,5/14/2013 18:08,52.9259524,5.4305801,-1,5/14/2013 18:08
2014-2013,5/14/2013 18:24,52.9260179,5.4303129,-1,5/14/2013 18:24
2014-2013,5/14/2013 18:39,52.9260267,5.4303807,-1,5/14/2013 18:39
2014-2013,5/14/2013 18:54,52.9262999,5.430119,-1,5/14/2013 18:54
2014-2013,5/14/2013 19:09,52.9262371,5.4302553,-1,5/14/2013 19:09
2014-2013,5/14/2013 19:24,52.9262006,5.4303498,-1,5/14/2013 19:24
2014-2013,5/14/2013 19:39,52.9261588,5.430404,-1,5/14/2013 19:39
2014-2013,5/14/2013 19:54,52.9264186,5.4299615,-1,5/14/2013 19:54
2014-2013,5/14/2013 20:09,52.9264013,5.4302641,-1,5/14/2013 20:09
2014-2013,5/14/2013 20:24,52.9263511,5.4301555,-1,5/14/2013 20:24
2014-2013,5/14/2013 20:39,52.92576,5.4307607,-1,5/14/2013 20:39
2014-2013,5/14/2013 20:55,52.9255965,5.4308946,-1,5/14/2013 20:55
2014-2013,5/14/2013 21:10,52.9305975,5.4377374,-1,5/14/2013 21:10
2014-2013,5/14/2013 21:25,52.9306041,5.4376786,-1,5/14/2013 21:25
2014-2013,5/14/2013 21:40,52.9305515,5.4377945,-1,5/14/2013 21:40
2014-2013,5/14/2013 21:54,52.9305092,5.437831,-1,5/14/2013 21:54
2014-2013,5/14/2013 22:10,52.9304266,5.4377843,-1,5/14/2013 22:10
2014-2013,5/14/2013 22:26,52.9305355,5.4377722,-1,5/14/2013 22:26
2014-2013,5/14/2013 22:41,52.9305407,5.4377743,-1,5/14/2013 22:41
2014-2013,5/14/2013 22:56,52.9305352,5.437827,-1,5/14/2013 22:56
2014-2013,5/14/2013 23:12,52.9305005,5.4378491,-1,5/14/2013 23:12
2014-2013,5/14/2013 23:26,52.9305392,5.437869,-1,5/14/2013 23:26
2014-2013,5/14/2013 23:42,52.9305428,5.4378522,-1,5/14/2013 23:42
2014-2013,5/14/2013 23:57,52.930571,5.4378411,-1,5/14/2013 23:57
2014-2013,5/15/2013 0:13,52.9305331,5.4377423,-1,5/15/2013 0:13
2014-2013,5/15/2013 0:28,52.9305168,5.437815,-1,5/15/2013 0:28
2014-2013,5/15/2013 0:43,52.9303917,5.437953,-1,5/15/2013 0:43
2014-2013,5/15/2013 0:58,52.930454,5.4377051,-1,5/15/2013 0:58
2014-2013,5/15/2013 1:13,52.9304637,5.4376469,-1,5/15/2013 1:13
2014-2013,5/15/2013 1:28,52.9303536,5.4377198,-1,5/15/2013 1:28
2014-2013,5/15/2013 1:43,52.9305222,5.4373805,-1,5/15/2013 1:43
2014-2013,5/15/2013 1:58,52.93057,5.4374856,-1,5/15/2013 1:58
2014-2013,5/15/2013 2:14,52.9303461,5.437607,-1,5/15/2013 2:14
2014-2013,5/15/2013 2:29,52.9259527,5.4302084,-1,5/15/2013 2:29
2014-2013,5/15/2013 2:44,52.9264148,5.4302023,-1,5/15/2013 2:44
2014-2013,5/15/2013 2:59,52.9261167,5.4303109,-1,5/15/2013 2:59
2014-2013,5/15/2013 3:15,52.9261986,5.4302931,-1,5/15/2013 3:15
2014-2013,5/15/2013 3:30,52.9260174,5.4303892,-1,5/15/2013 3:30
2014-2013,5/15/2013 3:45,52.9260317,5.4303702,-1,5/15/2013 3:45
2014-2013,5/15/2013 4:00,52.9260347,5.4303751,-1,5/15/2013 4:00
2014-2013,5/15/2013 4:14,52.9260057,5.4303758,-1,5/15/2013 4:14
2014-2013,5/15/2013 4:29,52.9260492,5.4304002,-1,5/15/2013 4:29
2014-2013,5/15/2013 4:45,52.9260519,5.4303649,-1,5/15/2013 4:45
2014-2013,5/15/2013 4:59,52.926061,5.4303634,-1,5/15/2013 4:59
2014-2013,5/15/2013 5:14,52.9260618,5.4303669,-1,5/15/2013 5:14
2014-2013,5/15/2013 5:29,52.9261583,5.4304058,-1,5/15/2013 5:29
2014-2013,5/15/2013 5:44,52.9260737,5.4304046,-1,5/15/2013 5:44
2014-2013,5/15/2013 5:59,52.926298,5.4303017,-1,5/15/2013 5:59
2014-2013,5/15/2013 6:16,52.9260443,5.4303968,-1,5/15/2013 6:16
2014-2013,5/15/2013 6:31,52.926003,5.4304164,-1,5/15/2013 6:31
2014-2013,5/15/2013 6:46,52.9260056,5.4304489,-1,5/15/2013 6:46
2014-2013,5/15/2013 7:01,52.925949,5.4305371,-1,5/15/2013 7:01
2014-2013,5/15/2013 7:16,52.9259571,5.4306368,-1,5/15/2013 7:16
2014-2013,5/15/2013 7:46,52.9259287,5.4305138,-1,5/15/2013 7:46
2014-2013,5/15/2013 8:02,52.9259683,5.4304604,-1,5/15/2013 8:02
2014-2013,5/15/2013 8:17,52.9259163,5.4306118,-1,5/15/2013 8:17
2014-2013,5/15/2013 8:31,52.9259008,5.4306764,-1,5/15/2013 8:31
2014-2013,5/15/2013 8:46,52.9260098,5.4306378,-1,5/15/2013 8:46
2014-2013,5/15/2013 9:02,52.9260011,5.4304546,-1,5/15/2013 9:02
2014-2013,5/15/2013 9:17,52.9259817,5.4305283,-1,5/15/2013 9:17
2014-2013,5/15/2013 9:31,52.9260269,5.4304244,-1,5/15/2013 9:31
2014-2013,5/15/2013 9:46,52.9260766,5.4304357,-1,5/15/2013 9:46
2014-2013,5/15/2013 10:01,52.9261142,5.4304143,-1,5/15/2013 10:01
2014-2013,5/15/2013 10:16,52.9260418,5.4305173,-1,5/15/2013 10:16
2014-2013,5/15/2013 10:31,52.9260892,5.4305457,-1,5/15/2013 10:31
2014-2013,5/15/2013 11:01,52.9259241,5.4305675,-1,5/15/2013 11:01
2014-2013,5/15/2013 11:17,52.9258781,5.4305832,-1,5/15/2013 11:17
2014-2013,5/15/2013 11:32,52.9258978,5.4305936,-1,5/15/2013 11:32
2014-2013,5/15/2013 11:47,52.9258867,5.4305691,-1,5/15/2013 11:47
2014-2013,5/15/2013 12:03,52.9259011,5.4305525,-1,5/15/2013 12:03
2014-2013,5/15/2013 12:18,52.9259156,5.430557,-1,5/15/2013 12:18
2014-2013,5/15/2013 12:33,52.9258938,5.4305213,-1,5/15/2013 12:33
2014-2013,5/15/2013 12:48,52.9259829,5.4306111,-1,5/15/2013 12:48
2014-2013,5/15/2013 13:03,52.9260711,5.4305619,-1,5/15/2013 13:03
2014-2013,5/15/2013 13:18,52.9260894,5.4304545,-1,5/15/2013 13:18
2014-2013,5/15/2013 13:33,52.9261457,5.4304019,-1,5/15/2013 13:33
2014-2013,5/15/2013 13:48,52.926159,5.4303531,-1,5/15/2013 13:48
