ID,longitude,latitude,date_time,b,t
2001-2013,5.4093364,52.9151283,5/8/2013 22:53,2,5/8/2013 22:53
2001-2013,5.4093065,52.9151239,5/8/2013 23:03,2,5/8/2013 23:03
2001-2013,5.4093117,52.915127,5/8/2013 23:13,2,5/8/2013 23:13
2001-2013,5.4093349,52.9151305,5/8/2013 23:23,2,5/8/2013 23:23
2001-2013,5.4092912,52.9151398,5/8/2013 23:33,2,5/8/2013 23:33
2001-2013,5.4093152,52.9151157,5/8/2013 23:43,2,5/8/2013 23:43
2001-2013,5.409286,52.9151525,5/8/2013 23:53,2,5/8/2013 23:53
2001-2013,5.4093239,52.9150836,5/9/2013 0:03,2,5/9/2013 0:03
2001-2013,5.4094589,52.9149428,5/9/2013 0:13,2,5/9/2013 0:13
2001-2013,5.4092467,52.9150994,5/9/2013 0:24,2,5/9/2013 0:24
2001-2013,5.4092627,52.9151063,5/9/2013 0:33,2,5/9/2013 0:33
2001-2013,5.4092515,52.9151033,5/9/2013 0:44,2,5/9/2013 0:44
2001-2013,5.4092397,52.9151008,5/9/2013 0:54,2,5/9/2013 0:54
2001-2013,5.4095164,52.9150665,5/9/2013 1:04,2,5/9/2013 1:04
2001-2013,5.4092953,52.9150988,5/9/2013 1:14,2,5/9/2013 1:14
2001-2013,5.4092647,52.9151001,5/9/2013 1:24,2,5/9/2013 1:24
2001-2013,5.4093996,52.9150105,5/9/2013 1:34,2,5/9/2013 1:34
2001-2013,5.4096382,52.9148855,5/9/2013 1:45,2,5/9/2013 1:45
2001-2013,5.4096464,52.9148806,5/9/2013 1:55,2,5/9/2013 1:55
2001-2013,5.4265741,52.9216935,5/9/2013 2:05,2,5/9/2013 2:05
2001-2013,5.426498,52.9215601,5/9/2013 2:15,2,5/9/2013 2:15
2001-2013,5.4263538,52.9212559,5/9/2013 2:25,2,5/9/2013 2:25
2001-2013,5.4262188,52.9212716,5/9/2013 2:35,2,5/9/2013 2:35
2001-2013,5.4262542,52.921173,5/9/2013 2:44,2,5/9/2013 2:44
2001-2013,5.4261881,52.9211837,5/9/2013 2:54,2,5/9/2013 2:54
2001-2013,5.4261902,52.921188,5/9/2013 3:04,2,5/9/2013 3:04
2001-2013,5.4261771,52.9211499,5/9/2013 3:14,2,5/9/2013 3:14
2001-2013,5.426106,52.9211322,5/9/2013 3:24,2,5/9/2013 3:24
2001-2013,5.4259846,52.9211333,5/9/2013 3:34,2,5/9/2013 3:34
2001-2013,5.4259161,52.9210408,5/9/2013 3:44,2,5/9/2013 3:44
2001-2013,5.4249487,52.9201358,5/9/2013 3:54,1,5/9/2013 3:54
2001-2013,5.4249577,52.9201339,5/9/2013 4:04,1,5/9/2013 4:04
2001-2013,5.4249649,52.9201312,5/9/2013 4:14,1,5/9/2013 4:14
2001-2013,5.4249457,52.9201347,5/9/2013 4:24,1,5/9/2013 4:24
2001-2013,5.4249281,52.9201365,5/9/2013 4:34,1,5/9/2013 4:34
2001-2013,5.4249369,52.9201463,5/9/2013 4:44,1,5/9/2013 4:44
2001-2013,5.4248949,52.9201422,5/9/2013 4:53,1,5/9/2013 4:53
2001-2013,5.4249155,52.9201505,5/9/2013 5:03,1,5/9/2013 5:03
2001-2013,5.4249172,52.9201553,5/9/2013 5:13,1,5/9/2013 5:13
2001-2013,5.4249073,52.9201452,5/9/2013 5:23,1,5/9/2013 5:23
2001-2013,5.4248998,52.9201468,5/9/2013 5:33,1,5/9/2013 5:33
2001-2013,5.4249188,52.920153,5/9/2013 5:43,1,5/9/2013 5:43
2001-2013,5.4248778,52.920132,5/9/2013 5:53,1,5/9/2013 5:53
2001-2013,5.4249362,52.9201436,5/9/2013 6:03,1,5/9/2013 6:03
2001-2013,5.424936,52.92014,5/9/2013 6:13,1,5/9/2013 6:13
2001-2013,5.4249207,52.920129,5/9/2013 6:23,1,5/9/2013 6:23
2001-2013,5.424961,52.920125,5/9/2013 6:33,1,5/9/2013 6:33
2001-2013,5.4249137,52.9201206,5/9/2013 6:42,1,5/9/2013 6:42
2001-2013,5.4249343,52.920129,5/9/2013 6:52,1,5/9/2013 6:52
2001-2013,5.4249586,52.9201271,5/9/2013 7:03,1,5/9/2013 7:03
2001-2013,5.4249323,52.9201411,5/9/2013 7:12,1,5/9/2013 7:12
2001-2013,5.4249396,52.9201399,5/9/2013 7:22,1,5/9/2013 7:22
2001-2013,5.4248754,52.920157,5/9/2013 7:32,1,5/9/2013 7:32
2001-2013,5.4249026,52.9201488,5/9/2013 7:42,1,5/9/2013 7:42
2001-2013,5.4248881,52.9201466,5/9/2013 7:52,1,5/9/2013 7:52
2001-2013,5.4249678,52.9201327,5/9/2013 8:02,1,5/9/2013 8:02
2001-2013,5.4249638,52.9201407,5/9/2013 8:12,1,5/9/2013 8:12
2001-2013,5.4249703,52.9201651,5/9/2013 8:21,1,5/9/2013 8:21
2001-2013,5.4249338,52.9201726,5/9/2013 8:32,1,5/9/2013 8:32
2001-2013,5.4249435,52.9201371,5/9/2013 8:41,1,5/9/2013 8:41
2001-2013,5.4249657,52.9201414,5/9/2013 8:51,1,5/9/2013 8:51
2001-2013,5.4249469,52.9201237,5/9/2013 9:01,1,5/9/2013 9:01
2001-2013,5.4249292,52.9201296,5/9/2013 9:11,1,5/9/2013 9:11
2001-2013,5.4248851,52.9201644,5/9/2013 9:21,1,5/9/2013 9:21
2001-2013,5.424939,52.9201158,5/9/2013 9:31,1,5/9/2013 9:31
2001-2013,5.4249476,52.9201385,5/9/2013 9:41,1,5/9/2013 9:41
2001-2013,5.4248834,52.920149,5/9/2013 9:51,1,5/9/2013 9:51
2001-2013,5.4249506,52.9201674,5/9/2013 10:01,1,5/9/2013 10:01
