ID,date_time,latitude,longitude,b,t
2002-2015,2/5/2015 10:29,22.5266966,-11.8972315,-1,2/5/2015 10:29
2002-2015,2/5/2015 10:46,22.6649503,-11.7032401,5,2/5/2015 10:46
2002-2015,2/5/2015 10:56,22.7424666,-11.5994788,5,2/5/2015 10:56
2002-2015,2/5/2015 11:06,22.8193,-11.4783353,5,2/5/2015 11:06
2002-2015,2/5/2015 11:16,22.8998686,-11.3828557,5,2/5/2015 11:16
2002-2015,2/5/2015 11:26,22.9833538,-11.2621554,5,2/5/2015 11:26
2002-2015,2/5/2015 11:36,23.0618403,-11.1460677,5,2/5/2015 11:36
2002-2015,2/5/2015 11:46,23.1404614,-11.0169041,5,2/5/2015 11:46
2002-2015,2/5/2015 11:56,23.2300272,-10.8896274,5,2/5/2015 11:56
2002-2015,2/5/2015 12:06,23.3089919,-10.7964287,5,2/5/2015 12:06
2002-2015,2/5/2015 12:17,23.4029623,-10.6769838,5,2/5/2015 12:17
2002-2015,2/5/2015 12:31,23.5293319,-10.5623988,5,2/5/2015 12:31
2002-2015,2/5/2015 12:43,23.6382194,-10.440859,5,2/5/2015 12:43
2002-2015,2/5/2015 12:59,23.770531,-10.293969,5,2/5/2015 12:59
2002-2015,2/5/2015 13:09,23.8626763,-10.2023743,5,2/5/2015 13:09
2002-2015,2/5/2015 13:28,24.0324461,-10.0301037,5,2/5/2015 13:28
2002-2015,2/5/2015 13:39,24.1342524,-9.9069681,5,2/5/2015 13:39
2002-2015,2/5/2015 13:58,24.3046611,-9.7330806,5,2/5/2015 13:58
2002-2015,2/5/2015 14:28,24.561618,-9.3678586,5,2/5/2015 14:28
2002-2015,2/5/2015 14:58,24.8116122,-8.9977071,5,2/5/2015 14:58
2002-2015,2/5/2015 15:19,25.0073259,-8.7592332,5,2/5/2015 15:19
2002-2015,2/5/2015 15:49,25.2697987,-8.4801549,5,2/5/2015 15:49
2002-2015,2/5/2015 15:59,25.3525438,-8.4147226,5,2/5/2015 15:59
2002-2015,2/5/2015 16:29,25.6302614,-8.2048559,5,2/5/2015 16:29
2002-2015,2/5/2015 16:39,25.7317258,-8.1252248,5,2/5/2015 16:39
2002-2015,2/5/2015 16:49,25.8411303,-8.0449225,5,2/5/2015 16:49
2002-2015,2/5/2015 16:59,25.9412039,-7.9849604,5,2/5/2015 16:59
2002-2015,2/5/2015 17:09,26.0323688,-7.9206839,5,2/5/2015 17:09
2002-2015,2/5/2015 17:19,26.1236538,-7.8565789,5,2/5/2015 17:19
2002-2015,2/5/2015 17:30,26.2130681,-7.7834069,5,2/5/2015 17:30
2002-2015,2/5/2015 17:39,26.3097751,-7.6779055,5,2/5/2015 17:39
2002-2015,2/5/2015 17:49,26.3958219,-7.6102395,5,2/5/2015 17:49
2002-2015,2/5/2015 17:59,26.4758028,-7.5787249,5,2/5/2015 17:59
2002-2015,2/5/2015 18:09,26.546316,-7.5574742,5,2/5/2015 18:09
2002-2015,2/5/2015 18:19,26.6077537,-7.5221418,5,2/5/2015 18:19
2002-2015,2/5/2015 18:49,26.8652628,-7.3789653,5,2/5/2015 18:49
2002-2015,2/5/2015 19:19,27.1676327,-7.3274811,5,2/5/2015 19:19
2002-2015,2/5/2015 19:49,27.3727946,-7.3339564,5,2/5/2015 19:49
2002-2015,2/5/2015 20:19,27.5911598,-7.4205137,5,2/5/2015 20:19
2002-2015,2/5/2015 20:49,27.7983831,-7.4469049,5,2/5/2015 20:49
2002-2015,2/5/2015 21:19,28.008086,-7.3946212,5,2/5/2015 21:19
2002-2015,2/5/2015 21:49,28.2447937,-7.31768,5,2/5/2015 21:49
2002-2015,2/5/2015 22:19,28.4524629,-7.2035643,5,2/5/2015 22:19
2002-2015,2/5/2015 22:49,28.6316669,-7.0659749,5,2/5/2015 22:49
2002-2015,2/5/2015 23:19,28.8795627,-6.9450057,5,2/5/2015 23:19
2002-2015,2/5/2015 23:49,29.2046336,-6.9710008,5,2/5/2015 23:49
2002-2015,2/6/2015 0:19,29.5376292,-7.0590965,5,2/6/2015 0:19
2002-2015,2/6/2015 0:50,29.8381587,-7.173961,5,2/6/2015 0:50
2002-2015,2/6/2015 1:20,30.0921211,-7.1963517,5,2/6/2015 1:20
2002-2015,2/6/2015 1:50,30.364483,-7.1686777,5,2/6/2015 1:50
2002-2015,2/6/2015 2:19,30.6942627,-7.0635633,5,2/6/2015 2:19
2002-2015,2/6/2015 2:50,31.0075833,-7.0772826,5,2/6/2015 2:50
2002-2015,2/6/2015 3:19,31.2469537,-7.1384185,5,2/6/2015 3:19
2002-2015,2/6/2015 3:50,31.4829282,-7.1752355,5,2/6/2015 3:50
2002-2015,2/6/2015 4:20,31.7265296,-7.3230744,5,2/6/2015 4:20
2002-2015,2/6/2015 4:50,31.9027704,-7.5219419,5,2/6/2015 4:50
2002-2015,2/6/2015 5:20,32.0900615,-7.6865129,5,2/6/2015 5:20
2002-2015,2/6/2015 5:50,32.2583148,-7.8729196,5,2/6/2015 5:50
2002-2015,2/6/2015 6:20,32.397764,-8.0639209,5,2/6/2015 6:20
2002-2015,2/6/2015 6:50,32.6124684,-8.2544772,5,2/6/2015 6:50
2002-2015,2/6/2015 7:20,32.7468383,-8.4733258,5,2/6/2015 7:20
2002-2015,2/6/2015 7:50,32.9433866,-8.4520163,5,2/6/2015 7:50
2002-2015,2/6/2015 8:20,33.1353344,-8.5310566,-1,2/6/2015 8:20
2002-2015,2/6/2015 8:50,33.1353507,-8.531102,-1,2/6/2015 8:50
2002-2015,2/6/2015 9:20,33.1344048,-8.5335718,-1,2/6/2015 9:20
2002-2015,2/6/2015 9:50,33.1345324,-8.533601,-1,2/6/2015 9:50
2002-2015,2/6/2015 10:20,33.134337,-8.5335047,-1,2/6/2015 10:20
2002-2015,2/6/2015 10:50,33.1345602,-8.5334154,-1,2/6/2015 10:50
2002-2015,2/6/2015 11:20,33.1343307,-8.5334288,-1,2/6/2015 11:20
2002-2015,2/6/2015 11:50,33.1345783,-8.533457,-1,2/6/2015 11:50
2002-2015,2/6/2015 12:20,33.1344796,-8.5334885,-1,2/6/2015 12:20
2002-2015,2/6/2015 12:50,33.1344739,-8.5335139,-1,2/6/2015 12:50
2002-2015,2/6/2015 13:20,33.134526,-8.5334869,-1,2/6/2015 13:20
2002-2015,2/6/2015 13:50,33.1344904,-8.5330834,-1,2/6/2015 13:50
2002-2015,2/6/2015 14:20,33.1344659,-8.5333631,-1,2/6/2015 14:20
2002-2015,2/6/2015 14:51,33.1342197,-8.5327546,-1,2/6/2015 14:51
2002-2015,2/6/2015 15:21,33.1342951,-8.5328869,-1,2/6/2015 15:21
2002-2015,2/6/2015 15:51,33.1343145,-8.5329087,-1,2/6/2015 15:51
2002-2015,2/6/2015 16:21,33.134094,-8.533061,-1,2/6/2015 16:21
2002-2015,2/6/2015 16:51,33.134715,-8.5334497,-1,2/6/2015 16:51
2002-2015,2/6/2015 17:20,33.1345115,-8.5332413,-1,2/6/2015 17:20
2002-2015,2/6/2015 17:50,33.1345145,-8.5331912,-1,2/6/2015 17:50
2002-2015,2/6/2015 18:21,33.1345141,-8.5331347,-1,2/6/2015 18:21
2002-2015,2/6/2015 18:50,33.1344604,-8.5333823,-1,2/6/2015 18:50
2002-2015,2/6/2015 19:20,33.1344748,-8.5332858,-1,2/6/2015 19:20
2002-2015,2/6/2015 19:50,33.1345263,-8.5332505,-1,2/6/2015 19:50
2002-2015,2/6/2015 20:20,33.1346748,-8.533229,-1,2/6/2015 20:20
2002-2015,2/6/2015 20:50,33.2102329,-8.5251362,-1,2/6/2015 20:50
2002-2015,2/6/2015 21:53,33.1345402,-8.5334742,-1,2/6/2015 21:53
2002-2015,2/6/2015 22:23,33.1344466,-8.5335206,-1,2/6/2015 22:23
2002-2015,2/6/2015 22:53,33.1424571,-8.5228375,-1,2/6/2015 22:53
2002-2015,2/6/2015 23:23,33.1408792,-8.526107,-1,2/6/2015 23:23
2002-2015,2/6/2015 23:53,33.1405046,-8.5257547,-1,2/6/2015 23:53
2002-2015,2/7/2015 0:24,33.1404594,-8.5258708,-1,2/7/2015 0:24
2002-2015,2/7/2015 0:54,33.1404931,-8.5259617,-1,2/7/2015 0:54
2002-2015,2/7/2015 1:24,33.1405201,-8.5259921,-1,2/7/2015 1:24
2002-2015,2/7/2015 1:54,33.1405937,-8.5261233,-1,2/7/2015 1:54
2002-2015,2/7/2015 2:24,33.1409205,-8.5261262,-1,2/7/2015 2:24
2002-2015,2/7/2015 2:54,33.1405415,-8.5260373,-1,2/7/2015 2:54
2002-2015,2/7/2015 3:24,33.1405631,-8.5261221,-1,2/7/2015 3:24
2002-2015,2/7/2015 3:55,33.1405859,-8.5261191,-1,2/7/2015 3:55
2002-2015,2/7/2015 4:25,33.1402582,-8.5261954,-1,2/7/2015 4:25
2002-2015,2/7/2015 4:55,33.1384219,-8.5263425,-1,2/7/2015 4:55
2002-2015,2/7/2015 5:25,33.1383573,-8.526375,-1,2/7/2015 5:25
2002-2015,2/7/2015 5:55,33.1383475,-8.5263673,-1,2/7/2015 5:55
2002-2015,2/7/2015 6:25,33.1375797,-8.5272827,-1,2/7/2015 6:25
2002-2015,2/7/2015 6:55,33.1348213,-8.5318056,-1,2/7/2015 6:55
2002-2015,2/7/2015 7:25,33.1337469,-8.5334982,-1,2/7/2015 7:25
2002-2015,2/7/2015 7:55,33.1344763,-8.5332972,-1,2/7/2015 7:55
2002-2015,2/7/2015 8:26,33.1341572,-8.5330401,-1,2/7/2015 8:26
2002-2015,2/7/2015 8:56,33.1322183,-8.533582,-1,2/7/2015 8:56
2002-2015,2/7/2015 9:26,33.1338856,-8.5332463,-1,2/7/2015 9:26
2002-2015,2/7/2015 9:57,33.133905,-8.5332588,-1,2/7/2015 9:57
2002-2015,2/7/2015 10:27,33.1324785,-8.5333347,-1,2/7/2015 10:27
2002-2015,2/7/2015 10:57,33.1321399,-8.5336395,-1,2/7/2015 10:57
2002-2015,2/7/2015 11:27,33.134386,-8.5334943,-1,2/7/2015 11:27
2002-2015,2/7/2015 11:57,33.1343818,-8.5335068,-1,2/7/2015 11:57
2002-2015,2/7/2015 12:27,33.1340407,-8.5332044,-1,2/7/2015 12:27
2002-2015,2/7/2015 12:57,33.1344235,-8.5328548,-1,2/7/2015 12:57
2002-2015,2/7/2015 13:27,33.1342701,-8.5336106,-1,2/7/2015 13:27
2002-2015,2/7/2015 13:57,33.1340323,-8.5329783,-1,2/7/2015 13:57
2002-2015,2/7/2015 14:27,33.1340887,-8.5330937,-1,2/7/2015 14:27
2002-2015,2/7/2015 14:57,33.1344242,-8.5333047,-1,2/7/2015 14:57
2002-2015,2/7/2015 15:27,33.1347447,-8.5334528,-1,2/7/2015 15:27
2002-2015,2/7/2015 15:57,33.1344688,-8.5333982,-1,2/7/2015 15:57
2002-2015,2/7/2015 16:27,33.1345835,-8.533181,-1,2/7/2015 16:27
2002-2015,2/7/2015 16:57,33.1346486,-8.5330832,-1,2/7/2015 16:57
2002-2015,2/7/2015 17:27,33.1344834,-8.5332902,-1,2/7/2015 17:27
2002-2015,2/7/2015 17:57,33.1344036,-8.5332593,-1,2/7/2015 17:57
2002-2015,2/7/2015 18:27,33.1345247,-8.5331456,-1,2/7/2015 18:27
2002-2015,2/7/2015 18:57,33.1339405,-8.5333883,-1,2/7/2015 18:57
2002-2015,2/7/2015 19:27,33.1338397,-8.5336229,-1,2/7/2015 19:27
2002-2015,2/7/2015 19:57,33.1339215,-8.5336531,-1,2/7/2015 19:57
2002-2015,2/7/2015 20:28,33.1338637,-8.5336419,-1,2/7/2015 20:28
2002-2015,2/7/2015 20:58,33.1338277,-8.5335677,-1,2/7/2015 20:58
2002-2015,2/7/2015 21:28,33.1338347,-8.5335804,-1,2/7/2015 21:28
2002-2015,2/7/2015 21:57,33.136094,-8.5375376,-1,2/7/2015 21:57
2002-2015,2/7/2015 22:28,33.1408003,-8.5261318,-1,2/7/2015 22:28
2002-2015,2/7/2015 22:58,33.1404896,-8.5258122,-1,2/7/2015 22:58
2002-2015,2/7/2015 23:28,33.1392892,-8.5262268,-1,2/7/2015 23:28
2002-2015,2/7/2015 23:57,33.1394058,-8.5263263,-1,2/7/2015 23:57
2002-2015,2/8/2015 0:28,33.1393287,-8.526344,-1,2/8/2015 0:28
2002-2015,2/8/2015 0:57,33.139303,-8.5263499,-1,2/8/2015 0:57
2002-2015,2/8/2015 1:28,33.1393594,-8.5263731,-1,2/8/2015 1:28
2002-2015,2/8/2015 1:58,33.1393839,-8.5263587,-1,2/8/2015 1:58
2002-2015,2/8/2015 2:28,33.1393111,-8.5263351,-1,2/8/2015 2:28
2002-2015,2/8/2015 2:58,33.1392162,-8.5264776,-1,2/8/2015 2:58
2002-2015,2/8/2015 3:28,33.1392741,-8.5264489,-1,2/8/2015 3:28
2002-2015,2/8/2015 3:58,33.1392968,-8.5263316,-1,2/8/2015 3:58
2002-2015,2/8/2015 4:28,33.1392906,-8.5263235,-1,2/8/2015 4:28
2002-2015,2/8/2015 4:58,33.1392618,-8.5263413,-1,2/8/2015 4:58
2002-2015,2/8/2015 5:28,33.1392651,-8.526278,-1,2/8/2015 5:28
2002-2015,2/8/2015 5:58,33.1392408,-8.5263319,-1,2/8/2015 5:58
2002-2015,2/8/2015 6:28,33.1392841,-8.5263029,-1,2/8/2015 6:28
2002-2015,2/8/2015 6:58,33.1392783,-8.526272,-1,2/8/2015 6:58
2002-2015,2/8/2015 7:28,33.1392297,-8.5263094,-1,2/8/2015 7:28
2002-2015,2/8/2015 7:58,33.1322633,-8.5335986,-1,2/8/2015 7:58
2002-2015,2/8/2015 8:28,33.1326218,-8.535402,-1,2/8/2015 8:28
2002-2015,2/8/2015 8:58,33.1321909,-8.5336976,-1,2/8/2015 8:58
2002-2015,2/8/2015 9:28,33.1318088,-8.5341229,-1,2/8/2015 9:28
2002-2015,2/8/2015 9:58,33.1318204,-8.5343146,-1,2/8/2015 9:58
2002-2015,2/8/2015 10:29,33.117126,-8.5430189,-1,2/8/2015 10:29
2002-2015,2/8/2015 10:58,33.1343644,-8.5335187,-1,2/8/2015 10:58
2002-2015,2/8/2015 11:28,33.1344064,-8.5335506,-1,2/8/2015 11:28
2002-2015,2/8/2015 11:58,33.1344151,-8.5336319,-1,2/8/2015 11:58
2002-2015,2/8/2015 12:28,33.134235,-8.5335871,-1,2/8/2015 12:28
2002-2015,2/8/2015 12:59,33.1342955,-8.5335646,-1,2/8/2015 12:59
2002-2015,2/8/2015 13:29,33.1342484,-8.5335666,-1,2/8/2015 13:29
