ID,longitude,latitude,date_time,b,t
1008-2013,5.4385093,52.9288138,5/25/2013 7:54,-1,5/25/2013 7:54
1008-2013,5.4276681,52.9230116,5/25/2013 8:55,-1,5/25/2013 8:55
1008-2013,5.4334599,52.9245883,5/25/2013 9:55,-1,5/25/2013 9:55
1008-2013,5.4335123,52.9245482,5/25/2013 10:56,-1,5/25/2013 10:56
1008-2013,5.4975631,52.9444189,5/25/2013 12:23,-1,5/25/2013 12:23
1008-2013,5.497526,52.9443795,5/25/2013 13:23,-1,5/25/2013 13:23
1008-2013,5.4973487,52.9444891,5/25/2013 14:24,-1,5/25/2013 14:24
1008-2013,5.4440457,52.9249655,5/25/2013 15:25,-1,5/25/2013 15:25
1008-2013,5.497376,52.9444426,5/25/2013 16:25,-1,5/25/2013 16:25
1008-2013,5.4973904,52.9444503,5/25/2013 17:25,-1,5/25/2013 17:25
1008-2013,5.4974152,52.9444543,5/25/2013 18:26,-1,5/25/2013 18:26
1008-2013,5.4974064,52.9444427,5/25/2013 19:26,-1,5/25/2013 19:26
1008-2013,5.4973593,52.9446088,5/25/2013 20:26,-1,5/25/2013 20:26
1008-2013,5.4972763,52.9443867,5/25/2013 21:27,-1,5/25/2013 21:27
1008-2013,5.4973465,52.9444652,5/25/2013 22:27,-1,5/25/2013 22:27
1008-2013,5.4973788,52.9443909,5/25/2013 23:27,-1,5/25/2013 23:27
1008-2013,5.4974685,52.9444192,5/26/2013 0:27,-1,5/26/2013 0:27
1008-2013,5.4974083,52.94449,5/26/2013 1:27,-1,5/26/2013 1:27
1008-2013,5.4973513,52.9444319,5/26/2013 2:28,-1,5/26/2013 2:28
1008-2013,5.4973181,52.944339,5/26/2013 3:28,-1,5/26/2013 3:28
1008-2013,5.4973154,52.9444826,5/26/2013 4:29,-1,5/26/2013 4:29
1008-2013,5.4401857,52.9263681,5/26/2013 5:29,-1,5/26/2013 5:29
1008-2013,5.4363331,52.9253917,5/26/2013 6:30,-1,5/26/2013 6:30
1008-2013,5.435883,52.9279445,5/26/2013 7:31,-1,5/26/2013 7:31
1008-2013,5.4333365,52.92448,5/26/2013 8:33,-1,5/26/2013 8:33
1008-2013,5.4333733,52.9244553,5/26/2013 9:33,-1,5/26/2013 9:33
1008-2013,5.4333098,52.9244564,5/26/2013 10:34,-1,5/26/2013 10:34
1008-2013,5.4976603,52.9444137,5/26/2013 11:36,-1,5/26/2013 11:36
1008-2013,5.4972941,52.9445727,5/26/2013 12:36,-1,5/26/2013 12:36
1008-2013,5.4973577,52.9444466,5/26/2013 13:37,-1,5/26/2013 13:37
1008-2013,5.4978673,52.9443636,5/26/2013 14:37,-1,5/26/2013 14:37
1008-2013,5.4401453,52.9236407,5/26/2013 16:41,-1,5/26/2013 16:41
1008-2013,5.4973561,52.9445204,5/26/2013 17:43,-1,5/26/2013 17:43
1008-2013,5.4974043,52.9445053,5/26/2013 18:43,-1,5/26/2013 18:43
1008-2013,5.4974491,52.9445352,5/26/2013 19:43,-1,5/26/2013 19:43
1008-2013,5.4973685,52.9444209,5/26/2013 20:44,-1,5/26/2013 20:44
1008-2013,5.4974465,52.9445159,5/26/2013 21:44,-1,5/26/2013 21:44
1008-2013,5.4974152,52.9444762,5/26/2013 22:44,-1,5/26/2013 22:44
1008-2013,5.4974147,52.9444975,5/27/2013 0:45,-1,5/27/2013 0:45
1008-2013,5.4973854,52.9444619,5/27/2013 1:45,-1,5/27/2013 1:45
1008-2013,5.4973896,52.9444499,5/27/2013 2:46,-1,5/27/2013 2:46
1008-2013,5.4973283,52.9442936,5/27/2013 3:46,-1,5/27/2013 3:46
1008-2013,5.4973145,52.9444967,5/27/2013 4:46,-1,5/27/2013 4:46
1008-2013,5.4332976,52.9244658,5/27/2013 5:47,-1,5/27/2013 5:47
1008-2013,5.4340271,52.9201007,5/27/2013 6:47,-1,5/27/2013 6:47
1008-2013,5.4343795,52.9186859,5/27/2013 7:47,-1,5/27/2013 7:47
1008-2013,5.4328439,52.9216752,5/27/2013 8:50,-1,5/27/2013 8:50
1008-2013,5.4326323,52.9214297,5/27/2013 9:50,1,5/27/2013 9:50
1008-2013,5.4325709,52.9213707,5/27/2013 10:51,1,5/27/2013 10:51
1008-2013,5.4333958,52.9216317,5/27/2013 11:51,1,5/27/2013 11:51
1008-2013,5.4323789,52.9214363,5/27/2013 12:51,1,5/27/2013 12:51
1008-2013,5.4328916,52.9212669,5/27/2013 13:53,1,5/27/2013 13:53
1008-2013,5.434616,52.9217907,5/27/2013 14:53,1,5/27/2013 14:53
1008-2013,5.4326672,52.9213258,5/27/2013 15:53,1,5/27/2013 15:53
1008-2013,5.4360205,52.9232789,5/27/2013 16:56,1,5/27/2013 16:56
1008-2013,5.4326296,52.9213802,5/27/2013 17:56,1,5/27/2013 17:56
1008-2013,5.4355886,52.9220877,5/27/2013 18:56,1,5/27/2013 18:56
1008-2013,5.4330404,52.9216436,5/27/2013 19:57,1,5/27/2013 19:57
1008-2013,5.437394,52.9235364,5/27/2013 20:59,1,5/27/2013 20:59
1008-2013,5.4369038,52.9233497,5/27/2013 21:59,-1,5/27/2013 21:59
1008-2013,5.4370109,52.9233349,5/27/2013 23:02,-1,5/27/2013 23:02
1008-2013,5.4370607,52.9233092,5/28/2013 0:03,-1,5/28/2013 0:03
1008-2013,5.4370921,52.9234261,5/28/2013 1:03,-1,5/28/2013 1:03
1008-2013,5.4367502,52.9233992,5/28/2013 2:04,-1,5/28/2013 2:04
1008-2013,5.4365096,52.9232856,5/28/2013 3:04,1,5/28/2013 3:04
1008-2013,5.4325343,52.9213812,5/28/2013 4:04,1,5/28/2013 4:04
1008-2013,5.4325221,52.9214089,5/28/2013 5:04,1,5/28/2013 5:04
1008-2013,5.4322876,52.9216398,5/28/2013 6:05,1,5/28/2013 6:05
1008-2013,5.4328388,52.9212017,5/28/2013 7:05,1,5/28/2013 7:05
1008-2013,5.4323921,52.9215168,5/28/2013 8:05,1,5/28/2013 8:05
1008-2013,5.4314984,52.9220001,5/28/2013 9:06,1,5/28/2013 9:06
1008-2013,5.4325138,52.9213912,5/28/2013 10:08,1,5/28/2013 10:08
1008-2013,5.4324205,52.9214836,5/28/2013 11:08,1,5/28/2013 11:08
1008-2013,5.4325742,52.9213796,5/28/2013 12:08,1,5/28/2013 12:08
1008-2013,5.4332356,52.920947,5/28/2013 14:08,1,5/28/2013 14:08
1008-2013,5.4325251,52.9214933,5/28/2013 15:09,1,5/28/2013 15:09
1008-2013,5.4328134,52.9215678,5/28/2013 16:10,1,5/28/2013 16:10
1008-2013,5.4317999,52.9213576,5/28/2013 17:11,1,5/28/2013 17:11
1008-2013,5.4327612,52.9212713,5/28/2013 18:12,1,5/28/2013 18:12
1008-2013,5.4328763,52.921322,5/28/2013 19:12,1,5/28/2013 19:12
1008-2013,5.433541,52.9213505,5/28/2013 20:13,1,5/28/2013 20:13
1008-2013,5.434203,52.9214735,5/28/2013 21:13,1,5/28/2013 21:13
1008-2013,5.4308783,52.9257542,5/28/2013 22:13,-1,5/28/2013 22:13
1008-2013,5.430827,52.92575,5/28/2013 22:44,1,5/28/2013 22:44
1008-2013,5.4308424,52.9257346,5/28/2013 23:15,1,5/28/2013 23:15
1008-2013,5.4308985,52.9258019,5/28/2013 23:45,1,5/28/2013 23:45
1008-2013,5.4308797,52.9257682,5/29/2013 0:16,1,5/29/2013 0:16
1008-2013,5.4308339,52.9257481,5/29/2013 0:47,1,5/29/2013 0:47
1008-2013,5.4308447,52.9257506,5/29/2013 1:17,1,5/29/2013 1:17
1008-2013,5.4373097,52.9234962,5/29/2013 1:46,1,5/29/2013 1:46
1008-2013,5.4368885,52.9232736,5/29/2013 2:17,1,5/29/2013 2:17
1008-2013,5.4345493,52.9218848,5/29/2013 2:47,1,5/29/2013 2:47
1008-2013,5.4345895,52.9218693,5/29/2013 3:16,1,5/29/2013 3:16
1008-2013,5.4345594,52.921893,5/29/2013 3:47,1,5/29/2013 3:47
1008-2013,5.4325533,52.9213734,5/29/2013 4:11,1,5/29/2013 4:11
1008-2013,5.4324985,52.9213837,5/29/2013 4:26,1,5/29/2013 4:26
1008-2013,5.4324951,52.9213583,5/29/2013 4:55,1,5/29/2013 4:55
1008-2013,5.4325181,52.9213814,5/29/2013 5:23,1,5/29/2013 5:23
1008-2013,5.4325147,52.9214109,5/29/2013 5:38,1,5/29/2013 5:38
1008-2013,5.4324976,52.9213939,5/29/2013 5:53,1,5/29/2013 5:53
1008-2013,5.4324821,52.9213979,5/29/2013 6:08,1,5/29/2013 6:08
1008-2013,5.4329562,52.921472,5/29/2013 6:38,1,5/29/2013 6:38
1008-2013,5.4322901,52.9215017,5/29/2013 6:53,1,5/29/2013 6:53
1008-2013,5.4318404,52.9213528,5/29/2013 7:08,1,5/29/2013 7:08
1008-2013,5.433205,52.9213845,5/29/2013 7:23,1,5/29/2013 7:23
1008-2013,5.4327776,52.9213764,5/29/2013 7:40,1,5/29/2013 7:40
1008-2013,5.4328066,52.9212639,5/29/2013 7:55,1,5/29/2013 7:55
1008-2013,5.4327566,52.9212985,5/29/2013 8:11,1,5/29/2013 8:11
1008-2013,5.4327151,52.9213037,5/29/2013 8:26,1,5/29/2013 8:26
