,Colourcode,Ringnumber,Sex,TransmitterNr,TagDeployedDate,Capture_NestID,YearDeployed,NestID,X31U,UTM,NestSuccess,StartKnownActive,EndKnownActive,Comment,Days of Incubation Missed,Complete,id,FledgingSuccess
26,B6RBYB,2510483,Female,144441,5/13/2015,1506903301,2015,1506903301,664002,5866994,Hatched,23-Apr-15,13-May-15,,-22,FALSE,144441-2015,0
27,B6RBYB,2510483,Female,144441,5/13/2015,1506903301,2015,1616100504,664266,5866957,Failed,23-Apr-16,30-Apr-16,,331,TRUE,144441-2016,0
28,B6RBYB,2510483,Female,144441,5/13/2015,1506903301,2015,1706901411,663744,5866958,Hatched,15-May-17,29-May-17,,725,TRUE,144441-2017,0
29,B6RBYB,2510483,Female,144441,5/13/2015,1506903301,2015,1709802901,NA,NA,Failed,21-Apr-17,21-Apr-17,,687,TRUE,144441-2017,0
69,Y5YLRR,2503309,Female,144442,5/11/2015,1506903904,2015,1506903904,663668,5866239,Hatched,20-Apr-15,11-May-15,,-22,FALSE,144442-2015,0
39,B1RRBR,2504875,Female,144443,5/24/2015,1506904405,2015,1506904405,664076,5866523,Hatched,5-May-15,26-May-15,,-20,FALSE,144443-2015,0
40,B1RRBR,2504875,Female,144443,5/24/2015,1506904405,2015,1606904403,664089,5866515,Failed,2-May-16,9-May-16,,329,TRUE,144443-2016,0
41,B1RRBR,2504875,Female,144443,5/24/2015,1506904405,2015,1706901413,663837,5866918,Failed,21-May-17,4-Jun-17,,720,TRUE,144443-2017,0
42,B1RRBR,2504875,Female,144443,5/24/2015,1506904405,2015,1706904401,664074,5866493,Failed,2-May-17,2-May-17,,687,TRUE,144443-2017,0
43,B1RRBR,2504875,Female,144443,5/24/2015,1506904405,2015,1806901404,663756,5866983,Infertile,20-Apr-18,23-May-18,"all eggs infertile, nest incubated",1073,TRUE,144443-2018,1
44,B1RRBR,2504875,Female,144443,5/24/2015,1506904405,2015,1906901403,663770,5866960,Failed,1-May-19,25-May-19,,1440,TRUE,144443-2019,0
52,B1RLLR,2504682,Female,151682,5/31/2016,1606903102,2016,1606903102,663919,5866616,Failed,18-May-16,31-May-16,,-22,FALSE,151682-2016,0
70,B4LBLR,2504673,Female,157535,5/4/2017,1706901401,2017,1706901401,663695,5866931,Hatched,5-Apr-17,2-May-17,,-24,FALSE,157535-2017,1
71,B5RBLB,2505015,Male,157536,4/30/2017,1706901101,2017,1706901101,663821,5867170,Hatched,6-Apr-17,4-May-17,,-18,FALSE,157536-2017,1
72,B5RBLB,2505015,Male,157536,4/30/2017,1706901101,2017,1806901112,663825,5867230,Hatched,4-May-18,26-May-18,,369,TRUE,157536-2018,0
73,B5RBLB,2505015,Male,157536,4/30/2017,1706901101,2017,1809803901,664264,5867722,Failed,11-Apr-18,18-Apr-18,,331,TRUE,157536-2018,0
74,B5RBLB,2505015,Male,157536,4/30/2017,1706901101,2017,1906901110,663824,5867223,Hatched,12-May-19,15-May-19,,723,TRUE,157536-2019,0
75,B5BYLB,2505021,Male,157553,5/3/2017,1706901502,2017,1706901502,NA,NA,Hatched,15-Apr-17,5-May-17,,-20,FALSE,157553-2017,0
76,Y5RLYB,2504857,Female,157558,5/9/2017,1706901504,2017,1706901504,663924,5866995,Hatched,21-Apr-17,12-May-17,,-19,FALSE,157558-2017,0
