*,date_time,longitude,latitude,b,id
1,5/16/2015 13:39,5.431,52.919,-1,144432-2015
2,5/16/2015 14:48,5.427,52.921,4,144432-2015
3,5/16/2015 15:42,5.425,52.92,4,144432-2015
4,5/16/2015 16:25,5.424,52.922,-1,144432-2015
5,5/16/2015 17:22,5.427,52.919,4,144432-2015
6,5/16/2015 17:58,5.422,52.92,4,144432-2015
7,5/16/2015 18:08,5.42,52.92,4,144432-2015
8,5/16/2015 19:34,5.42,52.918,4,144432-2015
9,5/16/2015 20:19,5.487,52.932,2,144432-2015
10,5/17/2015 21:38,5.424,52.92,4,144432-2015
11,5/18/2015 3:27,5.425,52.921,4,144432-2015
12,5/19/2015 4:18,5.418,52.925,4,144432-2015
13,5/19/2015 4:19,5.419,52.919,4,144432-2015
14,5/19/2015 4:42,5.436,52.92,4,144432-2015
15,5/19/2015 4:54,5.429,52.923,-1,144432-2015
16,5/19/2015 5:59,5.419,52.924,4,144432-2015
17,5/19/2015 6:00,5.421,52.921,4,144432-2015
18,5/19/2015 6:19,5.42,52.923,4,144432-2015
19,5/19/2015 7:59,5.426,52.92,4,144432-2015
20,5/19/2015 9:28,5.423,52.921,-1,144432-2015
21,5/19/2015 10:16,5.423,52.922,-1,144432-2015
22,5/19/2015 11:10,5.42,52.922,4,144432-2015
23,5/20/2015 10:48,5.426,52.922,-1,144432-2015
24,5/20/2015 11:18,5.425,52.921,4,144432-2015
25,5/20/2015 12:28,5.424,52.909,-1,144432-2015
26,5/20/2015 12:58,5.447,52.925,4,144432-2015
27,5/20/2015 14:37,5.428,52.922,-1,144432-2015
28,5/20/2015 15:37,5.413,52.916,-1,144432-2015
29,5/20/2015 15:44,5.421,52.919,4,144432-2015
30,5/20/2015 17:24,5.421,52.921,4,144432-2015
31,5/20/2015 17:34,5.422,52.921,4,144432-2015
32,5/21/2015 18:36,5.423,52.921,-1,144432-2015
33,5/21/2015 18:42,5.429,52.918,-1,144432-2015
34,5/21/2015 20:14,5.418,52.919,4,144432-2015
35,5/21/2015 20:21,5.418,52.919,4,144432-2015
36,5/21/2015 21:55,5.428,52.923,-1,144432-2015
37,5/23/2015 2:30,5.426,52.921,4,144432-2015
38,5/23/2015 3:54,5.431,52.926,-1,144432-2015
39,5/23/2015 4:12,5.43,52.917,-1,144432-2015
40,5/23/2015 4:42,5.441,52.916,4,144432-2015
41,5/23/2015 5:16,5.425,52.921,4,144432-2015
42,5/23/2015 5:32,5.431,52.92,-1,144432-2015
43,5/23/2015 6:21,5.427,52.92,4,144432-2015
44,5/23/2015 6:57,5.426,52.919,4,144432-2015
45,5/23/2015 7:14,5.426,52.919,4,144432-2015
46,5/24/2015 7:40,5.435,52.923,-1,144432-2015
47,5/24/2015 8:35,5.54,52.829,-1,144432-2015
48,5/24/2015 9:25,5.427,52.922,-1,144432-2015
49,5/24/2015 10:17,5.42,52.92,4,144432-2015
50,5/24/2015 11:05,5.431,52.918,-1,144432-2015
51,5/24/2015 12:11,5.425,52.919,4,144432-2015
52,5/24/2015 12:45,5.432,52.921,-1,144432-2015
53,5/24/2015 13:50,5.433,52.921,-1,144432-2015
54,5/24/2015 14:52,5.427,52.921,4,144432-2015
55,5/25/2015 14:44,5.543,52.947,2,144432-2015
56,5/25/2015 15:19,5.44,52.924,4,144432-2015
57,5/25/2015 15:25,5.435,52.924,-1,144432-2015
58,5/25/2015 16:20,5.444,52.925,4,144432-2015
59,5/25/2015 16:55,5.432,52.926,-1,144432-2015
60,5/25/2015 18:15,5.428,52.927,4,144432-2015
61,5/25/2015 18:38,5.418,52.927,4,144432-2015
62,5/25/2015 19:42,5.43,52.927,-1,144432-2015
63,5/25/2015 19:54,5.441,52.929,4,144432-2015
64,5/25/2015 20:33,5.437,52.927,4,144432-2015
65,5/27/2015 1:49,5.437,52.927,4,144432-2015
66,5/27/2015 3:26,5.435,52.928,4,144432-2015
67,5/27/2015 4:26,5.432,52.927,4,144432-2015
68,5/27/2015 4:43,5.438,52.922,4,144432-2015
69,5/27/2015 5:06,5.43,52.925,-1,144432-2015
70,5/28/2015 4:53,5.424,52.926,4,144432-2015
71,5/28/2015 5:57,5.435,52.925,4,144432-2015
72,5/28/2015 5:59,5.438,52.924,4,144432-2015
73,5/28/2015 6:15,5.428,52.922,-1,144432-2015
74,5/28/2015 7:37,5.442,52.922,4,144432-2015
75,5/28/2015 7:39,5.437,52.925,4,144432-2015
76,5/28/2015 8:01,5.438,52.926,4,144432-2015
77,5/28/2015 9:42,5.434,52.925,-1,144432-2015
78,5/28/2015 10:32,5.432,52.925,-1,144432-2015
79,5/28/2015 11:14,5.42,52.931,4,144432-2015
80,5/28/2015 11:22,5.43,52.923,-1,144432-2015
81,5/29/2015 12:54,5.416,52.921,4,144432-2015
82,5/29/2015 14:39,5.428,52.922,-1,144432-2015
83,5/29/2015 15:20,5.428,52.921,4,144432-2015
84,5/29/2015 15:36,5.427,52.924,-1,144432-2015
85,5/29/2015 16:59,5.429,52.925,-1,144432-2015
86,5/29/2015 17:19,5.426,52.928,4,144432-2015
87,5/29/2015 17:28,5.429,52.903,-1,144432-2015
88,5/29/2015 17:51,5.424,52.926,4,144432-2015
89,5/29/2015 18:40,5.419,52.929,4,144432-2015
90,5/29/2015 19:28,5.435,52.923,-1,144432-2015
