*,date_time,longitude,latitude,b,id
1,5/8/2017 14:26,5.45,52.926,4,157553-2017
2,5/8/2017 16:12,5.432,52.924,4,157553-2017
3,5/8/2017 17:09,5.657,52.987,2,157553-2017
4,5/8/2017 17:16,5.269,52.963,2,157553-2017
5,5/8/2017 17:53,5.38,52.905,-1,157553-2017
6,5/8/2017 18:52,5.913,52.761,2,157553-2017
7,5/8/2017 18:56,5.417,52.896,-1,157553-2017
8,5/8/2017 19:17,5.242,52.828,2,157553-2017
9,5/9/2017 17:41,5.85,53.007,2,157553-2017
10,5/9/2017 18:25,5.862,52.858,2,157553-2017
11,5/9/2017 18:27,5.447,52.935,4,157553-2017
12,5/9/2017 18:57,5.488,52.904,-1,157553-2017
13,5/9/2017 19:53,5.424,52.934,4,157553-2017
14,5/9/2017 20:38,5.442,52.932,4,157553-2017
15,5/9/2017 22:17,5.552,52.853,-1,157553-2017
16,5/12/2017 4:44,5.503,52.94,-1,157553-2017
17,5/12/2017 5:26,5.41,52.913,-1,157553-2017
18,5/12/2017 5:45,5.452,52.929,4,157553-2017
19,5/12/2017 6:25,5.399,52.946,-1,157553-2017
20,5/12/2017 7:15,5.461,52.924,-1,157553-2017
21,5/12/2017 7:26,5.379,52.934,-1,157553-2017
22,5/12/2017 9:01,5.446,52.895,-1,157553-2017
23,5/12/2017 9:48,5.523,52.919,-1,157553-2017
24,5/13/2017 9:26,5.508,52.922,-1,157553-2017
25,5/13/2017 11:08,5.378,52.964,-1,157553-2017
26,5/13/2017 15:11,5.547,52.919,-1,157553-2017
27,5/14/2017 14:57,5.359,52.914,-1,157553-2017
28,5/14/2017 16:22,5.394,52.918,-1,157553-2017
29,5/14/2017 16:44,5.437,52.925,4,157553-2017
30,5/14/2017 17:27,5.459,52.925,-1,157553-2017
31,5/14/2017 18:01,5.427,52.933,4,157553-2017
32,5/15/2017 19:56,5.443,52.977,-1,157553-2017
33,5/15/2017 20:13,5.447,52.932,4,157553-2017
34,5/15/2017 20:17,5.437,52.93,4,157553-2017
35,5/15/2017 21:07,5.435,52.93,4,157553-2017
36,5/15/2017 21:55,5.461,52.955,4,157553-2017
