*,date_time,longitude,latitude,b,id
1,5/9/2015 16:10,5.61,52.922,-1,144433-2015
2,5/9/2015 16:51,5.432,52.923,1,144433-2015
3,5/9/2015 18:18,5.438,52.923,1,144433-2015
4,5/9/2015 19:26,5.434,52.923,1,144433-2015
5,5/9/2015 19:59,5.434,52.924,1,144433-2015
6,5/9/2015 20:10,5.424,52.918,-1,144433-2015
7,5/9/2015 21:03,5.437,52.925,1,144433-2015
8,5/11/2015 3:04,5.432,52.925,4,144433-2015
9,5/11/2015 3:29,5.432,52.925,4,144433-2015
10,5/11/2015 4:41,5.434,52.93,4,144433-2015
11,5/11/2015 5:11,5.433,52.925,4,144433-2015
12,5/11/2015 5:51,5.429,52.921,4,144433-2015
13,5/11/2015 6:18,5.438,52.927,4,144433-2015
14,5/12/2015 6:18,5.433,52.923,4,144433-2015
15,5/12/2015 7:17,5.371,52.928,-1,144433-2015
16,5/12/2015 7:30,5.444,52.888,-1,144433-2015
17,5/12/2015 9:26,5.421,52.923,4,144433-2015
18,5/12/2015 10:14,5.412,52.926,4,144433-2015
19,5/12/2015 11:02,5.401,52.932,-1,144433-2015
20,5/12/2015 11:54,5.455,52.915,4,144433-2015
21,5/12/2015 12:44,5.449,52.928,4,144433-2015
22,5/13/2015 14:16,5.444,52.925,4,144433-2015
23,5/13/2015 15:14,5.436,52.926,4,144433-2015
24,5/13/2015 15:21,5.428,52.925,4,144433-2015
25,5/13/2015 16:55,5.416,52.931,4,144433-2015
26,5/13/2015 17:03,5.433,52.922,4,144433-2015
27,5/13/2015 17:53,5.429,52.926,4,144433-2015
28,5/13/2015 18:38,5.358,52.862,4,144433-2015
29,5/13/2015 19:39,5.429,52.925,4,144433-2015
30,5/14/2015 20:59,5.431,52.927,4,144433-2015
31,5/15/2015 2:19,5.427,52.927,4,144433-2015
32,5/15/2015 4:00,5.433,52.929,4,144433-2015
33,5/16/2015 3:49,5.443,52.927,4,144433-2015
34,5/16/2015 4:15,5.429,52.928,4,144433-2015
35,5/16/2015 4:53,5.429,52.924,4,144433-2015
36,5/16/2015 5:56,5.436,52.922,4,144433-2015
37,5/16/2015 6:36,5.422,52.923,4,144433-2015
38,5/16/2015 7:36,5.436,52.926,4,144433-2015
39,5/16/2015 8:49,5.413,52.926,4,144433-2015
40,5/16/2015 9:44,5.421,52.928,4,144433-2015
