*,date_time,longitude,latitude,b,id
1,5/14/2015 14:04,5.431,52.898,-1,144440-2015
2,5/14/2015 15:09,5.427,52.922,1,144440-2015
3,5/15/2015 16:07,5.424,52.92,1,144440-2015
4,5/15/2015 16:40,5.427,52.922,1,144440-2015
5,5/15/2015 17:46,5.425,52.919,1,144440-2015
6,5/15/2015 18:29,5.416,52.923,-1,144440-2015
7,5/15/2015 19:00,5.419,52.916,-1,144440-2015
8,5/15/2015 20:10,5.42,52.927,-1,144440-2015
9,5/15/2015 20:40,5.414,52.918,-1,144440-2015
10,5/15/2015 21:28,5.401,52.916,-1,144440-2015
11,5/17/2015 1:59,5.424,52.922,4,144440-2015
12,5/17/2015 3:39,5.424,52.921,4,144440-2015
13,5/17/2015 4:43,5.424,52.924,4,144440-2015
14,5/17/2015 5:21,5.429,52.925,4,144440-2015
15,5/17/2015 5:32,5.427,52.923,4,144440-2015
16,5/17/2015 6:23,5.426,52.922,4,144440-2015
17,5/17/2015 7:14,5.426,52.918,4,144440-2015
18,5/18/2015 9:49,5.41,52.924,-1,144440-2015
19,5/18/2015 10:41,5.411,52.925,-1,144440-2015
20,5/18/2015 11:29,5.428,52.922,4,144440-2015
21,5/18/2015 13:18,5.425,52.919,4,144440-2015
22,5/18/2015 14:50,5.426,52.923,4,144440-2015
23,5/19/2015 15:48,5.436,52.925,4,144440-2015
24,5/19/2015 16:07,5.441,52.924,4,144440-2015
25,5/19/2015 17:36,5.438,52.922,4,144440-2015
26,5/19/2015 17:47,5.477,52.899,2,144440-2015
27,5/19/2015 18:06,5.429,52.923,4,144440-2015
28,5/19/2015 19:14,5.252,52.927,2,144440-2015
29,5/19/2015 19:43,5.406,52.92,2,144440-2015
30,5/19/2015 20:56,5.409,52.917,2,144440-2015
31,5/19/2015 22:38,5.409,52.92,2,144440-2015
32,5/21/2015 2:52,5.424,52.928,4,144440-2015
33,5/21/2015 3:56,5.446,52.928,4,144440-2015
34,5/21/2015 4:55,5.437,52.923,4,144440-2015
35,5/21/2015 5:31,5.424,52.922,4,144440-2015
36,5/21/2015 5:35,5.425,52.918,4,144440-2015
37,5/21/2015 7:19,5.421,52.923,4,144440-2015
38,5/22/2015 10:05,5.425,52.921,-1,144440-2015
39,5/22/2015 10:55,5.435,52.923,-1,144440-2015
40,5/22/2015 11:01,5.434,52.923,-1,144440-2015
41,5/22/2015 11:47,5.428,52.912,-1,144440-2015
42,5/22/2015 12:36,5.423,52.919,-1,144440-2015
43,5/22/2015 14:18,5.427,52.922,-1,144440-2015
44,5/22/2015 15:17,5.431,52.93,-1,144440-2015
45,5/23/2015 16:09,5.434,52.928,-1,144440-2015
46,5/23/2015 16:45,5.431,52.928,-1,144440-2015
47,5/23/2015 17:39,5.43,52.929,-1,144440-2015
48,5/23/2015 17:48,5.432,52.929,-1,144440-2015
49,5/23/2015 19:20,5.433,52.954,-1,144440-2015
50,5/23/2015 19:34,5.441,52.944,-1,144440-2015
51,5/23/2015 20:22,5.431,52.93,-1,144440-2015
52,5/23/2015 21:09,5.436,52.93,-1,144440-2015
53,5/25/2015 2:07,5.437,52.931,-1,144440-2015
54,5/25/2015 2:54,5.436,52.931,-1,144440-2015
55,5/25/2015 3:49,5.431,52.938,-1,144440-2015
56,5/25/2015 4:30,5.424,52.92,-1,144440-2015
57,5/25/2015 4:50,5.429,52.921,-1,144440-2015
58,5/25/2015 5:27,5.431,52.918,-1,144440-2015
59,5/25/2015 5:32,5.434,52.931,-1,144440-2015
60,5/25/2015 6:10,5.435,52.931,-1,144440-2015
61,5/25/2015 6:32,5.434,52.932,-1,144440-2015
62,5/25/2015 7:10,5.431,52.931,-1,144440-2015
63,5/26/2015 8:42,5.414,52.937,-1,144440-2015
64,5/26/2015 9:37,5.423,52.932,-1,144440-2015
65,5/26/2015 10:23,5.425,52.933,-1,144440-2015
66,5/26/2015 11:47,5.425,52.933,-1,144440-2015
67,5/26/2015 13:27,5.417,52.931,-1,144440-2015
68,5/26/2015 13:41,5.416,52.931,-1,144440-2015
69,5/26/2015 14:52,5.416,52.932,-1,144440-2015
70,5/27/2015 16:00,5.437,52.938,-1,144440-2015
71,5/27/2015 16:11,5.425,52.936,-1,144440-2015
72,5/27/2015 17:14,5.429,52.936,-1,144440-2015
73,5/27/2015 17:49,5.433,52.939,-1,144440-2015
74,5/27/2015 18:52,5.438,52.938,-1,144440-2015
75,5/27/2015 19:01,5.436,52.938,-1,144440-2015
76,5/27/2015 19:51,5.434,52.931,-1,144440-2015
77,5/27/2015 20:31,5.44,52.93,-1,144440-2015
78,5/27/2015 20:41,5.444,52.932,-1,144440-2015
79,5/27/2015 21:30,5.439,52.932,-1,144440-2015
80,5/29/2015 3:03,5.447,52.933,-1,144440-2015
81,5/29/2015 3:50,5.448,52.93,-1,144440-2015
82,5/29/2015 4:05,5.471,52.964,-1,144440-2015
83,5/29/2015 4:42,5.417,52.884,2,144440-2015
84,5/29/2015 5:33,5.433,52.921,-1,144440-2015
85,5/29/2015 5:43,5.423,52.922,-1,144440-2015
86,5/29/2015 5:45,5.431,52.922,-1,144440-2015
87,5/30/2015 6:48,5.412,52.978,-1,144440-2015
88,5/30/2015 6:53,5.405,52.973,2,144440-2015
89,5/30/2015 7:12,5.408,52.975,2,144440-2015
90,5/30/2015 9:00,5.392,52.998,2,144440-2015
91,5/30/2015 9:50,5.386,52.999,2,144440-2015
92,5/30/2015 10:40,5.409,52.999,-1,144440-2015
93,5/30/2015 12:17,5.408,53.019,2,144440-2015
94,5/30/2015 12:43,5.411,53.002,-1,144440-2015
95,5/30/2015 13:48,5.412,53,-1,144440-2015
96,5/30/2015 14:25,5.403,53.004,2,144440-2015
97,5/31/2015 14:17,5.424,52.977,-1,144440-2015
98,5/31/2015 15:12,5.419,52.973,-1,144440-2015
99,5/31/2015 16:10,5.418,52.976,-1,144440-2015
100,5/31/2015 16:56,5.421,52.981,-1,144440-2015
101,5/31/2015 17:49,5.42,52.978,-1,144440-2015
102,5/31/2015 18:28,5.382,52.984,2,144440-2015
103,5/31/2015 18:30,5.386,52.983,2,144440-2015
104,5/31/2015 20:07,5.408,52.977,-1,144440-2015
105,5/31/2015 21:46,5.404,52.979,-1,144440-2015
106,6/2/2015 2:19,5.41,52.978,-1,144440-2015
107,6/2/2015 3:39,5.405,52.974,2,144440-2015
108,6/2/2015 3:59,5.442,52.988,-1,144440-2015
109,6/2/2015 4:59,5.442,52.998,-1,144440-2015
110,6/2/2015 5:18,5.448,52.997,-1,144440-2015
111,6/2/2015 5:35,5.446,52.997,-1,144440-2015
112,6/3/2015 6:28,5.442,52.996,-1,144440-2015
113,6/3/2015 6:49,5.444,52.996,-1,144440-2015
114,6/3/2015 8:08,5.448,52.997,-1,144440-2015
115,6/3/2015 8:25,5.595,52.926,-1,144440-2015
116,6/3/2015 9:15,5.489,52.986,-1,144440-2015
117,6/3/2015 10:06,5.446,52.992,-1,144440-2015
118,6/3/2015 10:25,5.454,52.99,-1,144440-2015
119,6/3/2015 10:51,5.407,52.987,-1,144440-2015
120,6/3/2015 11:58,5.412,52.985,-1,144440-2015
121,6/3/2015 13:41,5.405,52.984,-1,144440-2015
122,6/4/2015 15:10,5.412,52.976,-1,144440-2015
123,6/4/2015 16:08,5.402,52.988,-1,144440-2015
124,6/4/2015 16:09,5.408,52.988,-1,144440-2015
125,6/4/2015 17:49,5.41,52.982,-1,144440-2015
126,6/4/2015 18:02,5.404,52.984,-1,144440-2015
127,6/4/2015 19:34,5.399,52.988,-1,144440-2015
128,6/4/2015 19:42,5.407,52.985,-1,144440-2015
129,6/4/2015 20:19,5.4,52.984,-1,144440-2015
130,6/4/2015 21:14,5.408,52.986,-1,144440-2015
131,6/4/2015 22:03,5.406,52.987,-1,144440-2015
132,6/6/2015 1:35,5.403,52.984,-1,144440-2015
133,6/6/2015 3:14,5.406,52.984,-1,144440-2015
134,6/6/2015 4:54,5.427,52.987,-1,144440-2015
135,6/6/2015 5:32,5.423,52.988,-1,144440-2015
136,6/6/2015 5:53,5.43,52.987,-1,144440-2015
137,6/7/2015 6:49,5.429,52.987,-1,144440-2015
138,6/7/2015 7:27,5.1,52.809,-1,144440-2015
139,6/7/2015 9:35,5.423,52.993,-1,144440-2015
140,6/7/2015 10:25,5.416,52.991,-1,144440-2015
141,6/7/2015 11:15,5.416,52.993,-1,144440-2015
142,6/7/2015 11:16,5.419,52.988,-1,144440-2015
143,6/7/2015 12:55,5.414,52.988,-1,144440-2015
144,6/8/2015 14:28,5.422,52.978,-1,144440-2015
145,6/8/2015 15:23,5.423,52.981,-1,144440-2015
146,6/8/2015 16:10,5.395,52.975,2,144440-2015
147,6/8/2015 17:05,5.425,52.982,-1,144440-2015
148,6/8/2015 17:35,5.424,52.982,-1,144440-2015
149,6/8/2015 17:48,5.428,52.981,-1,144440-2015
150,6/8/2015 19:03,5.427,52.981,-1,144440-2015
151,6/8/2015 19:15,5.397,52.988,-1,144440-2015
152,6/8/2015 19:51,5.406,52.985,-1,144440-2015
153,6/8/2015 20:37,5.406,52.985,-1,144440-2015
154,6/8/2015 22:21,5.393,52.999,2,144440-2015
155,6/10/2015 2:28,5.401,52.992,-1,144440-2015
156,6/10/2015 4:12,5.437,52.991,-1,144440-2015
157,6/10/2015 4:29,5.43,52.987,-1,144440-2015
158,6/10/2015 5:08,5.431,52.99,-1,144440-2015
159,6/10/2015 5:36,5.44,52.989,-1,144440-2015
160,6/10/2015 6:09,5.435,52.988,-1,144440-2015
161,6/11/2015 6:38,5.435,52.983,-1,144440-2015
162,6/11/2015 6:50,5.437,52.984,-1,144440-2015
163,6/11/2015 8:27,5.442,52.987,-1,144440-2015
164,6/11/2015 9:00,5.459,52.989,-1,144440-2015
165,6/11/2015 9:54,5.442,52.98,-1,144440-2015
166,6/11/2015 11:32,5.436,52.978,-1,144440-2015
167,6/11/2015 12:09,5.44,52.98,-1,144440-2015
168,6/11/2015 13:50,5.439,52.978,-1,144440-2015
169,6/12/2015 14:39,5.395,52.989,-1,144440-2015
170,6/12/2015 16:10,5.411,52.997,-1,144440-2015
171,6/12/2015 16:16,5.418,52.998,-1,144440-2015
172,6/12/2015 17:10,5.417,52.997,-1,144440-2015
173,6/12/2015 17:52,5.422,52.996,-1,144440-2015
174,6/12/2015 18:01,5.418,52.999,-1,144440-2015
175,6/12/2015 18:52,5.399,52.99,-1,144440-2015
176,6/12/2015 19:19,5.4,52.989,-1,144440-2015
177,6/12/2015 20:54,5.404,52.99,-1,144440-2015
178,6/14/2015 3:25,5.397,52.992,-1,144440-2015
179,6/14/2015 4:02,5.41,52.987,-1,144440-2015
180,6/14/2015 4:18,5.41,52.99,-1,144440-2015
181,6/14/2015 5:37,5.432,52.999,-1,144440-2015
182,6/14/2015 5:41,5.45,52.995,-1,144440-2015
183,6/14/2015 6:02,5.454,52.994,-1,144440-2015
184,6/15/2015 6:51,5.718,52.874,2,144440-2015
185,6/15/2015 7:31,5.714,52.873,2,144440-2015
186,6/15/2015 9:22,5.702,52.869,2,144440-2015
187,6/15/2015 10:12,5.691,52.87,2,144440-2015
188,6/15/2015 11:05,5.698,52.867,2,144440-2015
189,6/15/2015 11:23,5.704,52.862,2,144440-2015
190,6/15/2015 11:48,5.705,52.863,2,144440-2015
191,6/15/2015 13:04,5.708,52.869,2,144440-2015
