*,date_time,longitude,latitude,b,id
1,5/24/2015 8:24,5.482,52.935,-1,144443-2015
2,5/24/2015 9:24,5.444,52.926,1,144443-2015
3,5/24/2015 10:17,5.452,52.922,-1,144443-2015
4,5/24/2015 12:10,5.441,52.924,1,144443-2015
5,5/24/2015 12:41,5.444,52.927,1,144443-2015
6,5/24/2015 13:51,5.443,52.92,-1,144443-2015
7,5/24/2015 14:51,5.436,52.921,1,144443-2015
8,5/24/2015 15:43,5.446,52.923,1,144443-2015
9,5/24/2015 16:36,5.443,52.922,1,144443-2015
10,5/25/2015 16:56,5.446,52.92,-1,144443-2015
11,5/25/2015 18:15,5.436,52.923,1,144443-2015
12,5/25/2015 18:54,5.441,52.925,1,144443-2015
13,5/25/2015 19:41,5.44,52.923,1,144443-2015
14,5/25/2015 19:55,5.436,52.925,1,144443-2015
15,5/25/2015 20:32,5.435,52.921,-1,144443-2015
16,5/25/2015 21:24,5.445,52.929,-1,144443-2015
17,5/27/2015 3:26,5.44,52.925,4,144443-2015
18,5/27/2015 4:29,5.439,52.92,4,144443-2015
19,5/27/2015 4:45,5.441,52.924,4,144443-2015
20,5/27/2015 6:10,5.441,52.921,4,144443-2015
21,5/27/2015 6:21,5.447,52.92,4,144443-2015
22,5/27/2015 8:01,5.446,52.923,4,144443-2015
23,5/28/2015 9:42,5.433,52.924,4,144443-2015
24,5/28/2015 10:31,5.441,52.922,4,144443-2015
25,5/28/2015 11:23,5.43,52.926,4,144443-2015
26,5/28/2015 11:24,5.442,52.927,4,144443-2015
27,5/28/2015 13:08,5.462,52.928,4,144443-2015
28,5/28/2015 14:52,5.458,52.931,4,144443-2015
29,5/28/2015 15:46,5.443,52.924,4,144443-2015
30,5/28/2015 15:46,5.436,52.921,4,144443-2015
31,5/29/2015 17:01,5.442,52.922,4,144443-2015
32,5/29/2015 17:17,5.457,52.924,4,144443-2015
33,5/29/2015 17:52,5.442,52.919,4,144443-2015
34,5/29/2015 19:11,5.435,52.918,4,144443-2015
35,5/29/2015 19:30,5.446,52.924,4,144443-2015
36,5/29/2015 20:02,5.434,52.923,4,144443-2015
37,5/29/2015 20:45,5.441,52.931,4,144443-2015
38,5/31/2015 2:45,5.417,52.93,-1,144443-2015
39,5/31/2015 3:42,5.443,52.924,4,144443-2015
40,5/31/2015 4:19,5.457,52.921,4,144443-2015
41,5/31/2015 4:42,5.436,52.924,4,144443-2015
42,5/31/2015 5:21,5.43,52.926,4,144443-2015
43,5/31/2015 6:24,5.444,52.923,4,144443-2015
44,6/1/2015 9:12,5.415,52.94,-1,144443-2015
45,6/1/2015 9:58,5.451,52.923,4,144443-2015
46,6/1/2015 10:49,5.456,52.921,4,144443-2015
47,6/1/2015 11:41,5.44,52.926,4,144443-2015
48,6/1/2015 12:20,5.44,52.922,4,144443-2015
49,6/1/2015 14:03,5.441,52.926,4,144443-2015
50,6/1/2015 15:01,5.444,52.926,4,144443-2015
51,6/1/2015 15:47,5.398,52.945,2,144443-2015
52,6/1/2015 15:47,5.449,52.93,4,144443-2015
53,6/1/2015 16:14,5.439,52.925,4,144443-2015
54,6/1/2015 16:45,5.438,52.926,4,144443-2015
55,6/2/2015 17:25,5.437,52.925,-1,144443-2015
56,6/2/2015 18:42,5.466,52.945,-1,144443-2015
57,6/2/2015 19:05,5.447,52.922,-1,144443-2015
58,6/2/2015 19:25,5.446,52.926,-1,144443-2015
59,6/2/2015 20:20,5.459,52.923,-1,144443-2015
60,6/2/2015 21:07,5.441,52.923,-1,144443-2015
61,6/4/2015 1:59,5.441,52.922,-1,144443-2015
62,6/4/2015 3:38,5.439,52.926,-1,144443-2015
63,6/4/2015 4:16,5.441,52.923,-1,144443-2015
64,6/4/2015 4:38,5.431,52.915,-1,144443-2015
65,6/4/2015 4:44,5.444,52.921,-1,144443-2015
66,6/4/2015 5:55,5.44,52.922,-1,144443-2015
67,6/4/2015 6:17,5.44,52.922,-1,144443-2015
68,6/4/2015 6:25,5.443,52.921,-1,144443-2015
69,6/4/2015 7:55,5.42,52.884,-1,144443-2015
70,6/4/2015 8:01,5.48,52.949,-1,144443-2015
71,6/4/2015 8:56,5.443,52.925,-1,144443-2015
72,6/5/2015 10:17,5.422,52.925,-1,144443-2015
73,6/5/2015 11:36,5.407,52.92,2,144443-2015
74,6/5/2015 11:57,5.425,52.92,-1,144443-2015
75,6/5/2015 13:16,5.447,52.926,-1,144443-2015
76,6/5/2015 15:01,5.434,52.945,-1,144443-2015
77,6/5/2015 15:46,5.431,52.92,-1,144443-2015
78,6/5/2015 15:55,5.438,52.923,-1,144443-2015
79,6/5/2015 17:25,5.429,52.909,-1,144443-2015
80,6/5/2015 17:30,5.433,52.921,-1,144443-2015
81,6/6/2015 18:39,5.449,52.921,-1,144443-2015
82,6/6/2015 18:42,5.442,52.948,-1,144443-2015
83,6/6/2015 18:54,5.437,52.92,-1,144443-2015
84,6/6/2015 19:43,5.44,52.924,-1,144443-2015
